type,name,description,url
url,Univision_WL2_289_tpnsr_adobeconnec_com,api,tpnsr.adobeconnec.com
url,Univision_WL2_290_tpnsr_adobeconnect_com,api,tpnsr.adobeconnect.com
url,Univision_WL2_291_tpnsr_my_idaptive_app,api,tpnsr.my.idaptive.app
url,Univision_WL2_292_tprafdev_blob_core_windows_net,api,tprafdev.blob.core.windows.net
url,Univision_WL2_293_tps_doubleverify_com,api,tps.doubleverify.com
url,Univision_WL2_294_tpsccac_doubleverify_com,api,tpsc-cac.doubleverify.com
url,Univision_WL2_295_tpusalunchlockout_azurefd_net,api,tpusa-lunchlockout.azurefd.net
url,Univision_WL2_296_tr_outbrain_com,api,tr.outbrain.com
url,Univision_WL2_297_tracking_g2crowd_com,api,tracking.g2crowd.com
url,Univision_WL2_298_tracking_m6r_eu,api,tracking.m6r.eu
url,Univision_WL2_299_training_zendesk_com,api,training.zendesk.com
url,Univision_WL2_300_translate_google_com,api,translate.google.com
url,Univision_WL2_301_translate_googleapis_com,api,translate.googleapis.com
url,Univision_WL2_302_translatepa_googleapis_com,api,translate-pa.googleapis.com
url,Univision_WL2_303_trc_taboola_com,api,trc.taboola.com
url,Univision_WL2_304_trcevents_taboola_com,api,trc-events.taboola.com
url,Univision_WL2_305_trk_techtarget_com,api,trk.techtarget.com
url,Univision_WL2_306_ts01b_cloudsink_net,api,ts01-b.cloudsink.net
url,Univision_WL2_307_ts01b_csa_cloudsink_net,api,ts01-b.csa.cloudsink.net
url,Univision_WL2_308_twitter_com,api,twitter.com
url,Univision_WL2_309_uipglob_semasio_net,api,uipglob.semasio.net
url,Univision_WL2_310_um_simpli_fi,api,um.simpli.fi
url,Univision_WL2_311_ums_acuityplatform_com,api,ums.acuityplatform.com
url,Univision_WL2_312_umwatson_events_data_microsoft_com,api,umwatson.events.data.microsoft.com
url,Univision_WL2_313_unified_adsafeprotected_com,api,unified.adsafeprotected.com
url,Univision_WL2_314_universal_iperceptions_com,api,universal.iperceptions.com
url,Univision_WL2_315_unpkg_com,api,unpkg.com
url,Univision_WL2_316_update_googleapis_com,api,update.googleapis.com
url,Univision_WL2_317_ups_analytics_yahoo_com,api,ups.analytics.yahoo.com
url,Univision_WL2_318_us02st1_zoom_us,api,us02st1.zoom.us
url,Univision_WL2_319_us02st2_zoom_us,api,us02st2.zoom.us
url,Univision_WL2_320_us02st3_zoom_us,api,us02st3.zoom.us
url,Univision_WL2_321_us02web_zoom_us,api,us02web.zoom.us
url,Univision_WL2_322_us02www3_zoom_us,api,us02www3.zoom.us
