type,name,description,url
url,AVIS_WL_5_297_abeconnectorproduction_my_connect_a,api,abeconnectorproduction.my.connect.aws/
url,AVIS_WL_5_298_symbeeconnect_com,api,symbeeconnect.com*
url,AVIS_WL_5_299_symbeeconnect_comsymbee-connectui,api,symbeeconnect.com/symbee-connect/ui/abgprod/prod
url,AVIS_WL_5_300_fs_apps_abg_com,api,fs.apps.abg.com
url,AVIS_WL_5_301_WebRTC_com,api,WebRTC.com
url,AVIS_WL_5_302_c_go-mpulse_net,api,c.go-mpulse.net
url,AVIS_WL_5_303_go-mpulse,api,*go-mpulse*
url,AVIS_WL_5_304_WebRTC,api,*WebRTC*
url,AVIS_WL_5_305_WebRTC,api,WebRTC
url,AVIS_WL_5_306_symbeeconnect_com,api,symbeeconnect.com*
url,AVIS_WL_5_307_amanzonaws_com,api,*amanzonaws.com
url,AVIS_WL_5_308_my_connect_aws,api,*my.connect.aws
url,AVIS_WL_5_309_awsapps_com,api,*awsapps.com
url,AVIS_WL_5_310_static_connect_aws,api,*static.connect.aws
url,AVIS_WL_5_311_cloudfront_net,api,*cloudfront.net
url,AVIS_WL_5_312_westus_cloudapp_azure_com,api,westus.cloudapp.azure.com
url,AVIS_WL_5_313_translate_gameffective_me,api,translate.gameffective.me
url,AVIS_WL_5_314_realtime_getbeamer_com,api,realtime.getbeamer.com
url,AVIS_WL_5_315_www_gstatic_com,api,www.gstatic.com
url,AVIS_WL_5_316_inference_location_live_net,api,inference.location.live.net
url,AVIS_WL_5_317_eastus_cloudapp_azure_com,api,eastus.cloudapp.azure.com
url,AVIS_WL_5_318_15_193_0_019,api,15.193.0.0/19
url,AVIS_WL_5_319_jqueryui_com,api,jqueryui.com
url,AVIS_WL_5_320_datatables_net,api,datatables.net
url,AVIS_WL_5_321_symbeeconnect_comfsfQvpHGQnDXh6Bx,api,symbeeconnect.com/fsfQvpH/GQnDXh6BxWh24ht/zhl6mHnG+FD5fApH4fxarGea/Nx262/exXiQNSvsKVsHyeWPv3blFktCXnocq/5rKxIucKSmvga2aT+NVcUpi8THn/afUxzNNvuc6r6TPvSsSieCpnlSfHPpXU6mqwwvhBp6U7byVIF5QEP6oO4Rmuotle+70uYFzcUt6A==
url,AVIS_WL_5_322_mths_bequoted-printable,api,mths.be/quoted-printable
url,AVIS_WL_5_323_mths_be,api,mths.be
url,AVIS_WL_5_324_161_178_14_27ABG_ReportsPagesFol,api,161.178.14.27/ABG_Reports/Pages/Folder.aspx
url,AVIS_WL_5_325_abccwebABCCWebABCC-TulsaNew20Tu,api,abccweb/ABCCWeb/ABCC-Tulsa/New%20Tulsa%Home.html
url,AVIS_WL_5_326_www_abgvoice_comxvrlogin_action,api,www.abgvoice.com/xvr/login.action
url,AVIS_WL_5_327_symbeeconnect_com,api,symbeeconnect.com
url,AVIS_WL_5_328_abgconnectproduction_my_connect_aws,api,abgconnectproduction.my.connect.aws
url,AVIS_WL_5_329_us-west-2_symbeeconnect_com,api,us-west-2.symbeeconnect.com
url,AVIS_WL_5_330_abgconnectdr1_my_connect_aws,api,abgconnectdr1.my.connect.aws
url,AVIS_WL_5_331_symbeereporting_com,api,symbeereporting.com
url,AVIS_WL_5_332_wfo_mt5_verintcloudservices_com,api,wfo.mt5.verintcloudservices.com
url,AVIS_WL_5_333_mgw_mt5_verintcloudservices_com,api,mgw.mt5.verintcloudservices.com
url,AVIS_WL_5_334_TurnNlb-d76454ac48d20c1e_elb_us-eas,api,TurnNlb-d76454ac48d20c1e.elb.us-east-1.amazonaws.com
url,AVIS_WL_5_335_ec2-54-88-197-220_compute-1_amazona,api,ec2-54-88-197-220.compute-1.amazonaws.com
url,AVIS_WL_5_336_us-east-1_console_aws_amazon_com,api,us-east-1.console.aws.amazon.com
url,AVIS_WL_5_337_ap-northeast-1_console_aws_amazon_c,api,ap-northeast-1.console.aws.amazon.com
url,AVIS_WL_5_338_signin_aws_amazon_com,api,signin.aws.amazon.com
url,AVIS_WL_5_339_d-95672db261_awsapps_com,api,d-95672db261.awsapps.com
url,AVIS_WL_5_340transport_connect_ap-northeast-1_,api,*.transport.connect.ap-northeast-1.amazonaws.com
url,AVIS_WL_5_341_10_80_199_193,api,10.80.199.193
url,AVIS_WL_5_342_d3h58onr8hrozw_cloudfront_net,api,d3h58onr8hrozw.cloudfront.net
url,AVIS_WL_5_343_rtc_connect-telecom_ap-northeast-1_,api,rtc.connect-telecom.ap-northeast-1.amazonaws.com
url,AVIS_WL_5_344execute-api_ap-northeast-1_amazon,api,*.execute-api.ap-northeast-1.amazonaws.com
